"","cellline","ARG1","C1QTNF6","CD19","CD40","CD44","CD46","CD81","CD83","CTLA4","IL6","IL6R","IL6ST","TLR7","TLR9","TNF","TNFAIP1","TNFAIP3","TNFRSF10A","TNFRSF10B","TNFRSF11A","TNFRSF12A","TNFRSF13B","TNFRSF13C","TNFRSF17","TNFRSF18","TNFRSF19","TNFRSF1A","TNFRSF21","TNFRSF6B","TNFSF10","TNFSF13","TNFSF13B","TNFSF15","TNFSF4"
"1","A375",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
"2","A549",0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"3","ASC",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","HA1E",2,0,0,0,0,0,0,1,0,1,1,0,0,2,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,1,0
"5","HCC515",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,2,0,1
"6","HEKTE",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","HEPG2",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"8","HT29",0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"9","MCF7",0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"10","NPC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"11","PC3",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","SW480",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"13","VCAP",0,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
